===========================
Normal rounds testing
===========================
Testing Alzette_b7e15162_k16_nr4, using 2^42 data, seeds 0000000000000123 0000000000000456
Trail (state words):
  80008000 c000c000 
  e682e682 c100c100 
  e081e081 c201c201 
  04030403 07000700 
  e280e280 03030303 
Found match #171 b8de6f60:c6652a9d (... follows trail? 1)
Found match #172 b60a8a58:d86f3ace (... follows trail? 1)
Found match #173 a11035c2:98eb8ab9 (... follows trail? 1)
Found match #174 990ca096:582caebb (... follows trail? 1)
Found match #175 1df22336:d26012c3 (... follows trail? 1)
Found match #176 e0a8bd90:4e448875 (... follows trail? 1)
Found match #177 0752018c:dcad6220 (... follows trail? 1)
Found match #178 44c43b80:54ba866c (... follows trail? 1)
Found match #179 b2807254:d02e0632 (... follows trail? 1)
Found match #180 b98857fe:587108ec (... follows trail? 1)
Found match #181 9dee0b8a:c1012ac7 (... follows trail? 1)
Found match #182 850e3baa:ea4d0cf1 (... follows trail? 1)
Found match #183 cc0639c4:8859600c (... follows trail? 1)
Found match #184 a39e6eda:da833656 (... follows trail? 1)
Found match #185 d9820a4e:d0ff9e89 (... follows trail? 1)
Found match #186 e6149d90:866a9e68 (... follows trail? 1)
Found match #187 c5b479a0:8682bc30 (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #188 9b801db4:dc0e1eee (... follows trail? 0)
Found match #189 d6446290:48990cb6 (... follows trail? 1)
Found match #190 87383cec:ea2e8ca3 (... follows trail? 1)
Found match #191 2c2c0e38:50a1b66e (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #192 b368726c:628aba04 (... follows trail? 0)
Found match #193 b1b63f04:48b0849b (... follows trail? 1)
Found match #194 373e0b16:cc22a07d (... follows trail? 1)
Found match #195 a0c22968:cf106a4e (... follows trail? 1)
Found match #196 2ca6a410:4eeb2aca (... follows trail? 1)
Found match #197 bdee7dbe:5ebf341b (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #198 d74824e8:5292e8a0 (... follows trail? 0)
Found match #199 3388253e:d2ad2029 (... follows trail? 1)
Found match #200 c6866df4:88188024 (... follows trail? 1)
Found match #201 ac9075e2:5a6d844a (... follows trail? 1)
Found match #202 9e3a3c74:ee320442 (... follows trail? 1)
Found match #203 169a4406:64380a57 (... follows trail? 1)
Found match #204 13b06e26:e812c601 (... follows trail? 1)
Found match #205 fab07a32:f26e2e27 (... follows trail? 1)
Found match #206 2e8ae314:d62f0652 (... follows trail? 1)
Found match #207 ea609db2:f0ce2873 (... follows trail? 1)
Found match #208 bc460e2e:08612ac5 (... follows trail? 1)
Found match #209 832e02a6:748bb2de (... follows trail? 1)
Found match #210 66c46dec:c41a4666 (... follows trail? 1)
Found match #211 10da3dec:74188e3a (... follows trail? 1)
Found match #212 b88e447c:88941c20 (... follows trail? 1)
Found match #213 b0f4b18c:a0ce1eaa (... follows trail? 1)
Found match #214 d886c2d0:48598049 (... follows trail? 1)
Found match #215 8cdc2e7c:b6dd1eb2 (... follows trail? 1)
Found match #216 42a8467a:46300617 (... follows trail? 1)
Found match #217 84166cf6:64ffac0e (... follows trail? 1)
Found match #218 477403c4:cc4530de (... follows trail? 1)
Found match #219 9fbc2d22:ec0ae285 (... follows trail? 1)
Found match #220 368e4636:ca948601 (... follows trail? 1)
Found match #221 92fa1104:ee6b6ccf (... follows trail? 1)
Found match #222 b52c260c:ccb2163e (... follows trail? 1)
Found match #223 ff7e5138:f2b11054 (... follows trail? 1)
Found match #224 ecfa44ec:80629ac6 (... follows trail? 1)
Found match #225 b33ab26c:cc3b101b (... follows trail? 1)
Found match #226 c9be5c52:da0d0cbd (... follows trail? 1)
Found match #227 cfecbe38:d00216df (... follows trail? 1)
Found match #228 9e080e66:e2f22e4b (... follows trail? 1)
Found match #229 9c7813d2:64eeb03e (... follows trail? 1)
Found match #230 acc805e6:d29aee4b (... follows trail? 1)
Found match #231 c2ce78f0:ca93b48d (... follows trail? 1)
Found match #232 92f65110:9acf8afa (... follows trail? 1)
Found match #233 a7f25e14:e0dfb899 (... follows trail? 1)
Found match #234 a2984c92:4edc8cd0 (... follows trail? 1)
Found match #235 8ab8925a:2c3c2e3b (... follows trail? 1)
Found match #236 82ba46a8:45c008c6 (... follows trail? 1)
Found match #237 27d21124:4c1da6f2 (... follows trail? 1)
Found match #238 83304428:ec578e8b (... follows trail? 1)
Found match #239 0d86686a:6a628001 (... follows trail? 1)
Found match #240 e94801ea:f8bf3ecb (... follows trail? 1)
Found match #241 b56c036e:58e52e38 (... follows trail? 1)
Found match #242 d28a0e64:d49024bb (... follows trail? 1)
Found match #243 4f600838:cec87034 (... follows trail? 1)
Found match #244 1bc85ddc:e48988ce (... follows trail? 1)
Found match #245 84a803e6:59419efd (... follows trail? 1)
Found match #246 86e02808:aed720e4 (... follows trail? 1)
Found match #247 73401f52:44e21ccd (... follows trail? 1)
Found match #248 999c0e3c:eadc8b07 (... follows trail? 1)
Found match #249 b23a330c:c142d4ce (... follows trail? 1)
Found match #250 266e9ba8:ea333012 (... follows trail? 1)
Found match #251 dd3202a2:f82a2cf5 (... follows trail? 1)
Found match #252 6b883aae:42759a5b (... follows trail? 1)
Found match #253 9df2e412:702780b6 (... follows trail? 1)
Found match #254 ad863de0:e40f84cd (... follows trail? 1)
Found match #255 82b2230e:cf972221 (... follows trail? 1)
Found match #256 e5a80998:ccfda8df (... follows trail? 1)
